name,tags,alcohol,id,brewery_id,brewery_Name,image,Total Quantity,Remaining Quantity,Price
Bornem Tripel,abbey,9,252,241,Brouwerij Van Steenberge,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Klets,top fermentation,8,837,118,Brouwerij Bier & Karakter by Brouwerij Deca,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Père Noël,christmas,7,1198,313,Brouwerij De Ranke,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Omer.,"high fermentation, blonde",8,1129,24,Brouwerij Bockor,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Odlo Hivernum,"winter, belgian imperial Stout",8.7,1123,255,Brouwerij Lupus for (T)Huisbrouwerij Odlo,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Speculoos Bier,high fermentation (label beer),8,1397,66,Brasserie d'Ecaussinnes,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Piedbœuf Brune,table beer,1.5,1210,1,Brasserie Piedboeuf (AB InBev),https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Slaapmutske Blond,"high fermentation, blonde",6.4,1367,9,De Proefbrouwerij for Brouwerij Slaapmutske,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Bush de Noël,christmas,12,312,74,Brouwerij Dubuisson,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Louwaege Stout,stout,4.8,996,358,Alken-Maes (Heineken),https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Duvel,high fermentation,8.5,520,3,Brouwerij Duvel Moortgat,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Sara Blond,"blonde, high fermentation, buckwheat",6,1328,44,Brasserie de Silenrieux,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Smiske Extra,triple,7,1383,105,Brouwerij Smisje,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Affligem Noël,"abbey, christmas",9,45,19,Affligem Brewery (Heineken),https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Den Herberg Tarwe,white,5,477,256,Brouwerij Den Herberg,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
