name,tags,alcohol,id,brewery_id,brewery_Name,image,Total Quantity,Remaining Quantity,Price
La Douce Vertus,"high fermentation, ale",7,894,340,Brasserie Millevertus,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
De Kavijaks,india pale ale,7,451,185,De Dolle Brouwers for Kaffee Kavijaks,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Enfant Terriple,"blonde, triple",8.2,538,137,Brouwerij De Leite,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Ultramour,fruit beer,5,1587,66,Brasserie d'Ecaussinnes,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Dobbelken Amber,"local, amber",6.5,492,2,Brouwerij Strubbe,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Dobbelken Bruin,"local, brown",5,493,2,Brouwerij Strubbe,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Moinette Biologique,"blonde, organic",7.5,1047,130,Brasserie Dupont,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Molse Tripel,triple,8.3,1048,52,Scheldebrouwerij,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Mongozo Banana,fruit beer,4.5,1049,271,Brouwerij Huyghe,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Brugse Babbelaar,blonde,6.5,279,133,De Proefbrouwerij,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Abbaye de Saint-Martin Cuvée de Noël,"abbey, christmas",8.5,19,349,Brasserie de Brunehaut,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Phaedra,amber,6,1207,299,Brouwerij Het Alternatief by Brouwerij De Graal,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Drongens Plezierke,"high fermentation, dark",7.5,507,49,Brouwerij Slaghmuylder,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Belgian Framboises,fruit beer,3.5,131,242,Brasserie Lefebvre,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Zinnebir,blonde,5.8,1717,131,Brouwerij De Ranke for Brasserie de la Senne,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Marckloff,high fermentation,6.5,1020,267,Brasserie La Ferme au Chêne,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Mug,high fermentation,5,1080,318,De Scheldebrouwerij,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Plokkersbier,amber,7,1231,220,Brouwerij De Bie,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Zonderik Tripel,"blonde, triple",8,1723,278,De Proefbrouwerij for Zonderik Beer Company,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Cristal 1928,"low fermentation, pils",5.8,402,358,Alken-Maes (Heineken),https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Mort Subite Xtreme Framboise,fruit beer,4.3,1073,358,Alken-Maes (Heineken),https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Pipedream,IPA,7.8,1223,63,Brouwerij Alvinne,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Asterie,white,4.9,91,66,Brasserie d'Ecaussinnes,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Crianza,"mengbier, lambic",7,400,351,Brasserie de la Senne,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Satan Red,flemish brown,8,1335,354,Brouwerij De Block,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Saison St-Feuillien,"saison, amber",6.5,1325,186,Brasserie Saint-Feuillien,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Lindemans Cassis,fruit beer,3.5,978,233,Brouwerij Lindemans,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Vals Paterke,triple,8.3,1607,113,Brouwerij De Graal for t'Drankorgel,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Vicaris Kerst,"high fermentation, christmas",10,1618,31,Brouwerij Dilewyns,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Den Bi3r,triple,9,471,107,Brouwerij Den Tseut,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Lozen Boer,"high fermentation, quadruple",10,997,355,De Proefbrouwerij for de familie Neyt,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Jan Buuc,label beer,7.5,764,257,Brouwerij Het Sas,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Ne Flierefluiter,triple,8.5,1091,54,Brouwerij De Smedt commissioned by bierfirma Fisser,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
XXX Bitter,"high fermentation, blonde",6,1706,313,Brouwerij De Ranke,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Douglas Celtic Lager,blonde lager,5,503,36,Scottish & Newcastle for Group John Martin,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Bersalis Tripel,"blonde, high fermentation, triple",9.5,158,162,Brouwerij Huyghe for Brouwerij Oud Beersel,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Mageleno,blonde,7.5,1006,209,Huisbrouwerij Sint Canarus,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Anker Pils,pils,5,69,161,Brouwerij Het Anker,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Zeunt,high fermentation,7,1712,135,De Proefbrouwerij for het Zeuntcomité,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Super des Fagnes Blonde,"high fermentation, blonde",7.5,1468,234,Brasserie des Fagnes,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Ichtegem's Oud Bruin,"red brown, high fermentation",5,753,2,Brouwerij Strubbe,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Mouten Kop,"copper, india pale ale",6,1079,94,Brouwerij De Graal for De Hopjutters,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Bertinchamps Blonde,blonde,6.2,160,341,Brasserie de Bertinchamps,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Jan De Lichte,white,7,765,321,Brouwerij De Glazen Toren,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Maredsous tripel,triple,10,1023,3,Brouwerij Duvel Moortgat,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Oud Bier,table beer,2.1,1138,2,Brouwerij Strubbe,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Petrus Speciale,special,5.5,1205,81,Brouwerij Bavik,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Winterkoninkske Haspengouwse Grand Cru,"high fermentation, christmas",13,1686,305,Brouwerij Sint-Jozef for brouwerij Kerkom,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Vlasbier,blonde,6.5,1643,219,Brouwerij Van Eecke,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Brussels Framboos,fruit beer,3.5,292,241,Brouwerij Van Steenberge,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Bersalis Kadet,blonde,4.5,159,162,Brouwerij Huyghe for Brouwerij Oud Beersel,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Viven Porter,smoked Porter,7,1638,263,De Proefbrouwerij for Beerdevelopment Viven,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Quackelbeens Donker,"high fermentation, chocoladebier",7.1,1258,328,Brouwerij Gulden Spoor for Alain Quackelbeen,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Rose des Remparts,fruit beer,4.5,1297,120,Brasserie La Binchoise,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Cuvée Angélique,"double, belgian special",8.3,404,321,Brouwerij De Glazen Toren,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Sinpalsken Donker,high fermentation,8.5,1358,260,Brouwerij De Cock by Brouwerij Van Steenberge,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Leireken Witte Spelt,"blonde, high fermentation, spelt",5,959,301,Brouwerij Strubbe for Guldenboot nv,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
400,blonde,5.6,2,231,t Hofbrouwerijke for Brouwerij Montaigu,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Sezoens Quattro,"high fermentation, amber",8,1353,311,Brouwerij Martens (Bocholt),https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Leffe Kerst,"christmas, abbey",6.5,947,216,AB InBev,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
St. Louis Frambozen(bier),raspberry,5,1423,106,Brouwerij Van Honsebrouck,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Douglas Celtic XXX Strong,"blonde, high fermentation",12,506,36,Scottish & Newcastle for Group John Martin,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
La Grognarde,high fermentation,5.5,896,344,Brasserie Sainte-Hélène,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
La Jamboise de Bister,pale blonde,6.5,898,147,Brouwerij Lefebvre,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
"Hoegaarden 0,0","non alcoholic, white",0,715,109,Brouwerij De Kluis (AB InBev),https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Kloeke Blonde,"high fermentation, belgian blonde ale",6,841,172,De Struise Brouwers,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Saint-Monon Brune,double,7.5,1309,42,Brasserie Saint-Monon,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Bellebier Trippel,triple,8,153,39,Brouwerij Van Steenberge for Paeleman,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Blanche de Tubize,white,4.8,208,83,Brasserie de Tubize,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Antigoon,blonde,6.7,73,45,De Proefbrouwerij for The Musketeers,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Pêche Mel Bush,fruit beer,8.5,1195,74,Brouwerij Dubuisson,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Reninge Bitter Blond,blonde,7,1274,265,Seizoensbrouwerij Vandewalle,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Riebedebie,triple,9,1278,220,Brouwerij De Bie,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Beta,dark amber,6,162,297,Brouwerij Anders for Brussels Beer Project,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Kwaremont,"blonde, high fermentation",6.6,864,81,Brouwerij Bavik,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Motuecha,high fermentation,5,1077,172,De Struise Brouwers,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Pater Lieven Blond,abbey,6.5,1182,251,Brouwerij Van Den Bossche,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Cornet,"high fermentation, blonde",8.5,387,302,Brouwerij Palm,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Saison 1900,"amber, saison",5.2,1311,147,Brouwerij Lefebvre,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Saison 2000,saison,6.5,1312,100,Brasserie des Légendes,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Urthel Samaranth,"amberkleurig special, high fermentation",11.5,1597,275,Brouwerij De Koningshoeven commissioned by Brouwerij Urthel,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Cuvée van de Keizer Blauw,ruby special,11,434,161,Brouwerij Het Anker,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Dark White BBB,high fermentation,4.5,438,206,Brasserie Fantôme,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Alvinne Lex'ke,blonde,6.3,58,63,Brouwerij Alvinne,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Bueckenholt Belge,"belgian special, amber",6.5,302,80,Brouwerij Anders for Brouwerij Bueckenholt,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Maris Otter Aperitiefbier,blonde,5,1027,133,De Proefbrouwerij,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Boerken,"high fermentation, brown",9.5,236,53,De proefbrouwerij for Verstraeten H&S,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Bokkereyer,low fermentation,6,237,296,Brouwerij Sint-Jozef,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Rader Blonde,blonde,6.5,1263,181,Brasserie de l'Abbaye du Val-Dieu for Radermacher Distillerie,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Den Zytholoog,blonde,6.6,481,56,Brouwerij De Graal for bierfirma Vacas,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Cuvée Ermesinde,"high fermentation, amber",7.8,421,42,Brasserie Saint-Monon,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Cuvée Jolie Môme,"high fermentation, white",4.5,424,160,Brasserie du Flo,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Buffalo Belgian Stout,stout,9,305,251,Brouwerij Van Den Bossche,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Bremserbier,amber,6,263,40,Huisbrouwerij de 3 vaten,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Brugge Tripel,"special, high fermentation",8.7,275,279,Brouwerij Palm (previously in Brouwerij De Gouden Boom),https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Zonderix,"amber, triple",10,1724,278,De Proefbrouwerij for Zonderik Beer Company,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Straffe Hendrik Quadrupel,"high fermentation, special",11,1456,84,Brouwerij De Halve Maan,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Antiek Blond,blonde,8,70,183,Brouwerij Deca,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
La Moneuse Spéciale Noël,"saison, brown, high fermentation",8,904,332,Brasserie de Blaugies,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Thouroutenaere,blonde,8.5,1514,358,Alken-Maes (Heineken),https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Timmermans Caveau Gueuze,geuze,5.5,1515,350,Brouwerij Timmermans,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
St. Louis Framboise,raspberry,5,1422,106,Brouwerij Van Honsebrouck,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Mamouche,lambic,5,1015,170,Brasserie Cantillon,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Saison 1858,saison,6.4,1310,210,Brasserie du Bocq,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Struise Rosse,"high fermentation, belgian pale ale",5,1463,154,De Struise Brouwers by Brouwerij Deca,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Blanche de Bruxelles,white,4.5,205,147,Brouwerij Lefebvre,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Odlo Blond,high fermentation,6.7,1122,211,Brouwerij De Graal for (T)Huisbrouwerij Odlo,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Hanssens Lambic Experimental Cassis,"lambic, fruit beer",4,697,248,Brouwerij Hanssens,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Merck toch hoe sterck,barley wine,9,1038,318,De Scheldebrouwerij,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Floreffe Blond,abbey,6.3,566,147,Brouwerij Lefebvre,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Captain Cooker White Manuka Beer,white,4.5,328,90,De Proefbrouwerij for Captain Cooker,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Pater Lieven Tripel,abbey,8,1184,251,Brouwerij Van Den Bossche,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Deugniet,triple (label beer),7.3,484,70,Brasserie Du Bocq,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
La Trompeuse,high fermentation,6.9,926,92,Brasserie Jean Tout Seul,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Redbach,"fruit beer, kriek",3.5,1267,17,Brouwerij Rodenbach,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Gordon Xmas,christmas,8.8,650,23,Brouwerij Palm for Group John Martin,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Horse-Ale,Spéciale belge,5,745,216,AB InBev,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Rochefort 8,trappist,9.2,1283,93,Abbaye Notre-Dame de Saint-Rémy de Rochefort,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Blanche du Hainaut Bio,"white, organic",5.5,211,130,Brasserie Dupont,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Irma,fruit beer,6,758,27,for bierfirma Vacas,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Coy'Heimsen,"red brown, label beer",6,397,219,Brouwerij Van Eecke,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Triporteur from Hell,"ale, brown",6.6,1562,196,Brouwerij Anders for BOMBrewery,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Rebel Local,IPA,8.5,1266,58,Brouwersverzet by Brouwerij Gulden Spoor,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Achel 5 Blond,"trappist, blonde",5,31,168,Achelse Kluis,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Kessel 69,high fermentation,6.9,833,188,Brouwerij De Vlier,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Ops-Ale,blonde,5.5,1134,296,Brouwerij Sint-Jozef,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Koerseklakske,high fermentation,5.5,847,79,Brouwerij 't Gaverhopke,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Hoftrol,amber,6.2,731,96,t Hofbrouwerijke,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Kastels pompoenbier,"wheat, seizoensgebonden, met pompoen",,814,157,De Proefbrouwerij commissioned by De Kastelse Biervereniging,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Broeder Jacob Tripel,triple,7.5,272,150,Brasserie du Bocq for Broeder Jacob bvba,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Bon Secours Framboise,"high fermentation, raspberry",7,246,238,Brouwerij Caulier,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Villers Tripel,"abbey, triple",8,1632,271,Brouwerij Huyghe,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Chapeau Lemon,"fruit beer, lambic",3.5,362,303,Brouwerij De Troch,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Ichtegem’s grand cru,,6.5,752,2,Brouwerij Strubbe,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Timmermans Kriek Lambic,kriek,4,1519,350,Brouwerij Timmermans,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Stepa,"triple, sugar free",8,1447,128,De Proefbrouwerij for Stepaja bvba,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Big Bayou,cajun spices,4,181,105,Brouwerij Smisje,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Lucifer,"blonde, high fermentation",8.4,998,197,Brouwerij Het Anker (previously in Brouwerij Riva en Brouwerij Liefmans),https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Norman,blonde,7,1115,243,Bierfirma NoordSter by Brouwerij De Vlier,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
La Binchoise Organic’ Triple,"high fermentation, organic, triple",8.5,874,120,Brasserie La Binchoise,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Gouden Carolus Easter,dark special,10,656,161,Brouwerij Het Anker,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Star Blond,blonde,0.4,1439,47,Brouwerij Haacht,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Belgoo Luppoo,gold blonde,6.5,140,307,Brouwerij Belgoobeer by Brasserie La Binchoise,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Black Hole,pils,5.6,199,291,Brouwerij Roman,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Jessenhofke Bruin,"high fermentation, organic",7,771,148,De Proefbrouwerij for Brouwerij Jessenhofke,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Cristal Alken,"low fermentation, pils",4.8,401,358,Alken-Maes (Heineken),https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Antwerps Bruin,brown,5.8,75,215,Huisbrouwerij 't Pakhuis,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Modeste Bruin,"brown, organic",7.8,1042,360,Brouwerij Strubbe for BioFresh,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Vossen met de Meynen Blond,label beer,6.5,1650,161,Brouwerij Het Anker,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Toetëlèr Speculaas,speculaasbier,8.5,1530,174,Brouwerij Den Toetëlèr,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Struiselensis,"high fermentation, belgian blonde ale",7,1465,154,De Struise Brouwers by Brouwerij Deca,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Zeven Zonden Gula,high fermentation,9,1713,266,Brouwerij Gulden Spoor for bierfirma Hugel,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Zeven Zonden Invidia,high fermentation,10,1714,266,Brouwerij Gulden Spoor for bierfirma Hugel,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Double de Brabant,"double, dark",6.5,499,91,Group John Martin,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
